"TRE_CN","PREV_TRE_CN","PLT_CN","pltID","DIA","HT","CR","MEASYEAR","STATECD","STATUSCD","SPCD","LAT","LON","MEASYEAR_T1","SPECIES"
220299227010854,220052951010854,30817991010478,"2_51_111_20",10,70,40,2003,51,1,621,36.873637,-78.108487,2003,"YP"
220299228010854,220052952010854,30817991010478,"2_51_111_20",15.4,102,25,2003,51,1,131,36.873637,-78.108487,2003,"LP"
220299229010854,220052953010854,30817991010478,"2_51_111_20",NA,NA,NA,2003,51,0,316,36.873637,-78.108487,2003,"RM"
220299230010854,NA,30817991010478,"2_51_111_20",6.3,51,60,2003,51,1,621,36.873637,-78.108487,2003,"YP"
220299231010854,220052954010854,30817991010478,"2_51_111_20",12,73,75,2003,51,1,611,36.873637,-78.108487,2003,"SU"
220299232010854,220052955010854,30817991010478,"2_51_111_20",14.7,91,30,2003,51,1,131,36.873637,-78.108487,2003,"LP"
220299233010854,220052956010854,30817991010478,"2_51_111_20",12.9,84,25,2003,51,1,131,36.873637,-78.108487,2003,"LP"
220299236010854,220052957010854,30817991010478,"2_51_111_20",10.3,79,NA,2003,51,2,131,36.873637,-78.108487,2003,"LP"
220299239010854,220052958010854,30817991010478,"2_51_111_20",14.8,94,35,2003,51,1,131,36.873637,-78.108487,2003,"LP"
220299240010854,220052959010854,30817991010478,"2_51_111_20",8.4,51,38,2003,51,1,762,36.873637,-78.108487,2003,"BC"
220299241010854,220052960010854,30817991010478,"2_51_111_20",15.7,92,33,2003,51,1,131,36.873637,-78.108487,2003,"LP"
220299242010854,NA,30817991010478,"2_51_111_20",6,51,65,2003,51,1,621,36.873637,-78.108487,2003,"YP"
220299243010854,220052961010854,30817991010478,"2_51_111_20",13.1,80,55,2003,51,1,316,36.873637,-78.108487,2003,"RM"
220299244010854,220052962010854,30817991010478,"2_51_111_20",7.09,56,NA,2003,51,2,316,36.873637,-78.108487,2003,"RM"
220299245010854,220052963010854,30817991010478,"2_51_111_20",20.95,115,NA,2003,51,2,131,36.873637,-78.108487,2003,"LP"
220299246010854,220052964010854,30817991010478,"2_51_111_20",16.7,106,30,2003,51,1,131,36.873637,-78.108487,2003,"LP"
220299247010854,220052965010854,30817991010478,"2_51_111_20",6.3,60,25,2003,51,1,316,36.873637,-78.108487,2003,"RM"
220299248010854,220052966010854,30817991010478,"2_51_111_20",6,51,5,2003,51,1,311,36.873637,-78.108487,2003,"FM"
220299249010854,220052967010854,30817991010478,"2_51_111_20",23.4,94,55,2003,51,1,316,36.873637,-78.108487,2003,"RM"
220299252010854,220052968010854,30817991010478,"2_51_111_20",14.6,70,10,2003,51,1,316,36.873637,-78.108487,2003,"RM"
220299255010854,220052969010854,30817991010478,"2_51_111_20",6,42,35,2003,51,1,316,36.873637,-78.108487,2003,"RM"
220299256010854,220052970010854,30817991010478,"2_51_111_20",5.2,29,90,2003,51,1,68,36.873637,-78.108487,2003,"JU"
220299257010854,220052971010854,30817991010478,"2_51_111_20",23.5,86,55,2003,51,1,131,36.873637,-78.108487,2003,"LP"
220299259010854,220052972010854,30817991010478,"2_51_111_20",8.9,35,30,2003,51,1,131,36.873637,-78.108487,2003,"LP"
220299262010854,220052973010854,30817991010478,"2_51_111_20",6.3,37,30,2003,51,1,762,36.873637,-78.108487,2003,"BC"
220337053010854,NA,30726634010478,"1_51_33_71",6,38,40,2005,51,1,131,37.966782,-77.246323,2005,"LP"
220337054010854,NA,30726634010478,"1_51_33_71",5.8,34,40,2005,51,1,131,37.966782,-77.246323,2005,"LP"
