"TRE_CN","PREV_TRE_CN","PLT_CN","pltID","DIA","HT","CR","MEASYEAR","STATECD","STATUSCD","SPCD","LAT","LON","MEASYEAR_T1"
227623748010854,220299227010854,142970458010478,"2_51_111_20",12.4,77,75,2007,51,1,621,36.873637,-78.108487,2003
227623749010854,220299228010854,142970458010478,"2_51_111_20",17.4,105,25,2007,51,1,131,36.873637,-78.108487,2003
227623750010854,220299230010854,142970458010478,"2_51_111_20",8,62,25,2007,51,1,621,36.873637,-78.108487,2003
227623751010854,NA,142970458010478,"2_51_111_20",5.1,23,50,2007,51,1,391,36.873637,-78.108487,2003
227623752010854,NA,142970458010478,"2_51_111_20",1.1,18,25,2007,51,1,621,36.873637,-78.108487,2003
227623753010854,220299231010854,142970458010478,"2_51_111_20",13.5,75,75,2007,51,1,611,36.873637,-78.108487,2003
227623754010854,220299232010854,142970458010478,"2_51_111_20",16.7,87,30,2007,51,1,131,36.873637,-78.108487,2003
227623755010854,220299233010854,142970458010478,"2_51_111_20",14.7,85,20,2007,51,1,131,36.873637,-78.108487,2003
227623756010854,220299236010854,142970458010478,"2_51_111_20",10.3,79,NA,2007,51,2,131,36.873637,-78.108487,2003
227623757010854,220299239010854,142970458010478,"2_51_111_20",16.5,90,30,2007,51,1,131,36.873637,-78.108487,2003
227623758010854,220299240010854,142970458010478,"2_51_111_20",8.5,48,30,2007,51,1,762,36.873637,-78.108487,2003
227623759010854,220299241010854,142970458010478,"2_51_111_20",16.9,88,30,2007,51,1,131,36.873637,-78.108487,2003
227623760010854,220299242010854,142970458010478,"2_51_111_20",8.2,50,60,2007,51,1,621,36.873637,-78.108487,2003
227623761010854,NA,142970458010478,"2_51_111_20",1.8,23,50,2007,51,1,621,36.873637,-78.108487,2003
227623762010854,220299243010854,142970458010478,"2_51_111_20",13.5,74,45,2007,51,1,316,36.873637,-78.108487,2003
227623763010854,220299246010854,142970458010478,"2_51_111_20",17.4,96,25,2007,51,1,131,36.873637,-78.108487,2003
227623764010854,220299247010854,142970458010478,"2_51_111_20",6.4,59,30,2007,51,1,316,36.873637,-78.108487,2003
227623765010854,220299248010854,142970458010478,"2_51_111_20",5.9,50,NA,2007,51,2,311,36.873637,-78.108487,2003
227623766010854,220299249010854,142970458010478,"2_51_111_20",23.9,62,40,2007,51,1,316,36.873637,-78.108487,2003
227623767010854,220299252010854,142970458010478,"2_51_111_20",14.8,29,35,2007,51,1,316,36.873637,-78.108487,2003
227623768010854,NA,142970458010478,"2_51_111_20",1.1,12,40,2007,51,1,611,36.873637,-78.108487,2003
227623769010854,220299255010854,142970458010478,"2_51_111_20",6.24,43,NA,2007,51,2,316,36.873637,-78.108487,2003
227623770010854,220299256010854,142970458010478,"2_51_111_20",6.9,28,80,2007,51,1,68,36.873637,-78.108487,2003
227623771010854,220299257010854,142970458010478,"2_51_111_20",23.95,87,NA,2007,51,2,131,36.873637,-78.108487,2003
227623772010854,220299259010854,142970458010478,"2_51_111_20",8.8,42,NA,2007,51,2,131,36.873637,-78.108487,2003
227623773010854,220299262010854,142970458010478,"2_51_111_20",6.5,40,30,2007,51,1,762,36.873637,-78.108487,2003
227623774010854,NA,142970458010478,"2_51_111_20",2.1,19,70,2007,51,1,621,36.873637,-78.108487,2003
227623775010854,NA,142970458010478,"2_51_111_20",2.2,21,50,2007,51,1,621,36.873637,-78.108487,2003
227648546010854,220337053010854,214887982010854,"1_51_33_71",7,49,30,2008,51,1,131,37.966782,-77.246323,2005
227648547010854,220337054010854,214887982010854,"1_51_33_71",6.6,44,30,2008,51,1,131,37.966782,-77.246323,2005
227648548010854,220337055010854,214887982010854,"1_51_33_71",6.9,47,30,2008,51,1,131,37.966782,-77.246323,2005
227648549010854,220337056010854,214887982010854,"1_51_33_71",6.5,47,30,2008,51,1,131,37.966782,-77.246323,2005
227648550010854,220337057010854,214887982010854,"1_51_33_71",6.7,45,30,2008,51,1,131,37.966782,-77.246323,2005
227648551010854,220337058010854,214887982010854,"1_51_33_71",5.4,45,30,2008,51,1,131,37.966782,-77.246323,2005
227648552010854,220337059010854,214887982010854,"1_51_33_71",7,48,35,2008,51,1,131,37.966782,-77.246323,2005
227648553010854,220337060010854,214887982010854,"1_51_33_71",6.9,45,30,2008,51,1,131,37.966782,-77.246323,2005
227648554010854,220337061010854,214887982010854,"1_51_33_71",6.8,45,30,2008,51,1,131,37.966782,-77.246323,2005
227648555010854,220337062010854,214887982010854,"1_51_33_71",6.4,48,35,2008,51,1,131,37.966782,-77.246323,2005
227648556010854,220337063010854,214887982010854,"1_51_33_71",6.4,46,30,2008,51,1,131,37.966782,-77.246323,2005
227648557010854,220337064010854,214887982010854,"1_51_33_71",7.2,46,35,2008,51,1,131,37.966782,-77.246323,2005
227648558010854,220337069010854,214887982010854,"1_51_33_71",6.6,44,30,2008,51,1,131,37.966782,-77.246323,2005
227648559010854,220337070010854,214887982010854,"1_51_33_71",3.4,37,25,2008,51,1,132,37.966782,-77.246323,2005
227648560010854,220337071010854,214887982010854,"1_51_33_71",3.9,42,30,2008,51,1,132,37.966782,-77.246323,2005
227648561010854,220337072010854,214887982010854,"1_51_33_71",3.9,42,30,2008,51,1,132,37.966782,-77.246323,2005
227648562010854,220337073010854,214887982010854,"1_51_33_71",4.5,44,25,2008,51,1,131,37.966782,-77.246323,2005
227648563010854,220337074010854,214887982010854,"1_51_33_71",4.5,44,25,2008,51,1,131,37.966782,-77.246323,2005
227648564010854,NA,214887982010854,"1_51_33_71",5.7,46,30,2008,51,1,131,37.966782,-77.246323,2005
227648565010854,NA,214887982010854,"1_51_33_71",5.2,38,40,2008,51,1,132,37.966782,-77.246323,2005
227648566010854,220337075010854,214887982010854,"1_51_33_71",8.6,54,35,2008,51,1,131,37.966782,-77.246323,2005
227648567010854,220337076010854,214887982010854,"1_51_33_71",7.2,48,30,2008,51,1,131,37.966782,-77.246323,2005
227648568010854,220337077010854,214887982010854,"1_51_33_71",8.4,49,35,2008,51,1,131,37.966782,-77.246323,2005
227648569010854,220337078010854,214887982010854,"1_51_33_71",6.4,46,30,2008,51,1,131,37.966782,-77.246323,2005
227648570010854,220337079010854,214887982010854,"1_51_33_71",7.8,47,35,2008,51,1,131,37.966782,-77.246323,2005
227648571010854,220337080010854,214887982010854,"1_51_33_71",5.9,44,30,2008,51,1,131,37.966782,-77.246323,2005
227648572010854,220337081010854,214887982010854,"1_51_33_71",6.4,45,30,2008,51,1,131,37.966782,-77.246323,2005
227648573010854,220337082010854,214887982010854,"1_51_33_71",6.1,46,30,2008,51,1,131,37.966782,-77.246323,2005
227648574010854,220337083010854,214887982010854,"1_51_33_71",6.6,44,30,2008,51,1,131,37.966782,-77.246323,2005
227648575010854,220337084010854,214887982010854,"1_51_33_71",7.5,50,35,2008,51,1,131,37.966782,-77.246323,2005
227648576010854,220337085010854,214887982010854,"1_51_33_71",8,51,35,2008,51,1,131,37.966782,-77.246323,2005
227648577010854,220337086010854,214887982010854,"1_51_33_71",6.4,47,30,2008,51,1,131,37.966782,-77.246323,2005
227648578010854,220337089010854,214887982010854,"1_51_33_71",5.7,43,30,2008,51,1,131,37.966782,-77.246323,2005
227648579010854,220337092010854,214887982010854,"1_51_33_71",6.5,47,30,2008,51,1,131,37.966782,-77.246323,2005
227648580010854,220337093010854,214887982010854,"1_51_33_71",6.5,44,30,2008,51,1,131,37.966782,-77.246323,2005
227648581010854,220337094010854,214887982010854,"1_51_33_71",6.4,47,30,2008,51,1,131,37.966782,-77.246323,2005
227648582010854,220337097010854,214887982010854,"1_51_33_71",8.4,49,30,2008,51,1,131,37.966782,-77.246323,2005
227648583010854,220337101010854,214887982010854,"1_51_33_71",2.5,25,40,2008,51,1,132,37.966782,-77.246323,2005
